"AgencyID","DBA","Address","City","County","Zip","Agency Phone","Wholesale","Warehouse","Order Day","Week","Delivery Day","Primary Contact","Primary Contact Phone"
"30205","1837 Wine and Spirits Emporium","1383 E Johnstown Rd","Gahanna","Franklin County","43230","614-933-9463","Yes","GPT","Monday","Weekly","Thursday","Anil Thumma","256-679-7097"
"30206","Kroger","300 S Hamilton Rd","Gahanna","Franklin County","43230","614-416-6430","-","GPT","Tuesday","Weekly","Friday","Todd Vanbuskirk","614-795-1112"
"30207","Kroger","1006 A Washington Blvd","Belpre","Washington County","45714","740-315-4112","Yes","GPT","Tuesday","Weekly","Friday","Aaron Williams","740-423-5885"
"30208","3C Food & Beverage","4436 Westerville Rd","Columbus","Franklin County","43231","614-471-5057","Yes","GPT","Monday","Weekly","Thursday","Tridip Barua",""
"30209","Food Center Emporium","100 Olive St","Caldwell","Noble County","43724","740-732-4646","-","GPT","Tuesday","Weekly","Friday","Angela Crock","740-459-0323"
"30210","Giant Eagle Market District","3061 Kingsdale Center","Upper Arlington","Franklin County","43221","614-538-0762","-","GPT","Thursday","Weekly","Tuesday","Shane Frady","937-417-7016"
"30211","Meijer","5050 N Hamilton Rd","Columbus","Franklin County","43230","614-855-4909","-","GPT","Tuesday","Weekly","Friday","Henson Zackary","614-855-4900"
"30212","Giant Eagle","2801 N High St","Columbus","Franklin County","43202","614-268-0976","-","GPT","Wednesday","Weekly","Monday","Jeremy King","614-678-9449"
"30213","Kroger","6580 E Main St","Reynoldsburg","Franklin County","43068","614-866-5336","-","GPT","Monday","Weekly","Thursday","Steven Norris","614-935-8077"
"30214","Kroger","3588 Gender Rd","Canal Winchester","Franklin County","43110","614-920-7400","-","GPT","Tuesday","Weekly","Friday","Craig Priess","614-920-7400"
"30215","Carfagna's Market","1440 Gemini Place","Columbus","Franklin","43240","614-846-6340","Yes","GPT","Tuesday","Weekly","Friday","Matthew Louwers","614-517-8905"
"30216","Giant Eagle Market District","4001 Britton Pkwy","Hilliard","Franklin County","43026","614-921-8196","-","GPT","Tuesday","Weekly","Friday","Roger Cronin","614-581-4656"
"30217","Busy Day Market","30 W Stimson Ave","Athens","Athens County","45701","740-592-9700","Yes","GPT","Wednesday","Weekly","Monday","Hunter Fox","440-773-2358"
"30218","Bodega Wine & Spirits","1032-1034 Columbus Ave","Marysville","Union","43040","937-209-3028","Yes","GPT","Monday","Weekly","Thursday","Drhumil Patel","614-735-7578"
"30219","Giant Eagle Market District Express","2250 E. Main St.","Bexley","Franklin","43209","614-591-6635","-","GPT","Monday","Weekly","Thursday","Keith Maier","614-285-4199"
"30220","Giant Eagle Market District","4000 W Powell Rd","Powell","Delaware County","43065","614-889-8073","-","GPT","Tuesday","Weekly","Friday","David Bihn","614-937-1811"
"30221","Chateau Wine & Spirits","6665 Sawmill Rd","Dublin","Franklin County","43017","614-389-3937","Yes","GPT","Tuesday","Weekly","Friday","Sailendra Patel","614-634-0127"
"30222","Liquor Depot","957 E Columbus St.","Kenton","Hardin","43326","419-767-9000","Yes","GPT","Tuesday","Weekly","Friday","Urvish Patel","513-505-7997"
"30223","Galloway Wine & Spirits","950 Galloway Rd","Galloway","Franklin County","43119","614-385-4362","Yes","GPT","Thursday","Weekly","Tuesday","Gursev Sidhu","614-620-9633"
"30225","Kroger","855 Coshocton Rd","Mt Vernon","Knox","43050","740-393-1425","Yes","GPT","Friday","Weekly","Wednesday","Cheryl Ramey","740-398-1100"
"30700","Ale Wine and Spirits","7560 Guard Well St","Powell","Delaware County","43065","740-881-0318","Yes","GPT","Friday","Weekly","Wednesday","Nate Held","614-378-0548"
"30701","Kroger","917 E State St","Athens","Athens County","45701","740-592-1598","Yes","GPT","Wednesday","Weekly","Monday","Corey Young","740-592-1598"
"30702","Buckeye Wine and Spirits","510 Ackerman Rd","Columbus","Franklin County","43202","614-262-4983","Yes","GPT","Wednesday","Weekly","Monday","Gursev Sidhu","614-620-9633"
"30703","Houch's","1020 E Main St","Chillicothe","Ross County","45601","740-775-8287","Yes","GPT","Monday","Weekly","Thursday","Deenna Harrington","740-703-5838"
"30704","Giant Eagle","1394 Ety Shops Way","Lancaster","Fairfield County","43130","740-654-5027","Yes","GPT","Wednesday","Weekly","Monday","Charles Krokey","740-739-1075"
"30705","Kroger","1428 Marion-Waldo Rd","Marion","Marion County","43302","740-386-2919","Yes","GPT","Wednesday","Weekly","Monday","Ashley Rager",""
"30706","Kroger","811 Gay St","Portsmouth","Scioto County","45662","740-355-5013","Yes","GPT","Friday","Weekly","Wednesday","Scott Sparks","740-708-0903"
"30707","Oasis Drive Thru","136 S Main St","Lakeview","Logan County","43331","937-843-5052","Yes","GPT","Thursday","Weekly","Tuesday","James Fraley",""
"30708","Northern Lights Spirits","3349 Cleveland Ave","Columbus","Franklin County","43224","614-262-9463","Yes","GPT","Wednesday","Weekly","Monday","Gaurav Rana","614-327-3735"
"30709","ABC Liquor","1571 E Dublin Granville Rd","Columbus","Franklin County","43229","614-846-4788","Yes","GPT","Wednesday","Weekly","Monday","William Tran","614-653-4883"
"30710","Kroger","610 Carroll St","New Lexington","Perry County","43764","740-342-3578","Yes","GPT","Wednesday","2","Monday","Angela Laughhunn","740-342-3578"
"30711","Kroger","350 East Broad Street","Pataskala","Licking","43062","740-964-2514","-","GPT","Tuesday","Weekly","Friday","Kerry Elk","740-755-9300"
"30713","Kroger","1240 Park Ave W","Mansfield","Richland County","44906","419-528-1869","Yes","GRN","Friday","Weekly","Wednesday","matt folkman","602-791-1561"
"30714","Kroger","1500 Lexington Ave","Mansfield","Richland County","44907","419-774-3262","Yes","GRN","Monday","Weekly","Thursday","Dustin Prince","419-632-0730"
"30715","Kroger","1155 N 21st St","Newark","Licking County","43055","740-258-6677","Yes","GPT","Tuesday","Weekly","Friday","Christina McRoberts","740-258-6677"
"30716","Ritchies Village Liquor","557 S W St","Piketon","Pike County","45661","740-289-2145","Yes","GPT","Friday","Weekly","Wednesday","Nathan Maynard","740-222-1932"
"30717","Mark's Drive Thru","6240 E Livingston Ave","Reynoldsburg","Franklin County","43068","614-861-0998","Yes","GPT","Wednesday","Weekly","Monday","Chi Bui","614-398-6535"
"30718","Kroger","3975 Powell Rd","Powell","Delaware County","43065","614-336-8105","-","GPT","Friday","Weekly","Wednesday","Dale McMaster","740-602-4002"
"30719","Giant Eagle Market District","2900 Stelzer Rd","Columbus","Franklin County","43219","614-471-8904","Yes","GPT","Thursday","Weekly","Tuesday","Cathi Stauffer","614-352-0763"
"30720","Kroger","1375 Chambers Rd","Columbus","Franklin County","43212","614-488-1116","-","GPT","Thursday","Weekly","Tuesday","Theresa Harrington","614-326-9436"
"30721","Kroger","60 Worthington Mall","Worthington","Franklin County","43085","614-841-7427","Yes","GPT","Friday","Weekly","Wednesday","John Cecil",""
"30722","The Hills Market","7860 Olentangy River Rd","Columbus","Franklin County","43235","614-846-3220","-","GPT","Tuesday","Weekly","Friday","Kyle Baker","614-374-5761"
"30723","Giant Eagle Market District","4747 Sawmill Rd","Columbus","Franklin County","43220","614-459-5358","-","GPT","Thursday","Weekly","Tuesday","Jenifer Crosby-Howiler","614-535-7416"
"30724","Kroger","1441 Parsons Ave","Columbus","Franklin County","43207","614-445-5727","-","GPT","Thursday","Weekly","Tuesday","Sharea Ayers","614-445-5727"
"30725","Giant Eagle Market District","840 W 3rd Ave","Columbus","Franklin County","43212","614-294-2363","Yes","GPT","Friday","Weekly","Wednesday","Deana Hamilton","740-501-0665"
"30726","Kroger","150 W Sycamore St","Columbus","Franklin County","43215","614-340-7979","-","GPT","Wednesday","Weekly","Monday","Tiffany Drafton","614-340-7979"
"30727","Kroger","55 W Schrock Rd","Westerville","Franklin County","43081","614-259-5777","-","GPT","Thursday","Weekly","Tuesday","HUNTER BROWN","614-705-3398"
"30728","Giant Eagle","3841 S Hamilton Rd","Groveport","Franklin County","43125","614-836-5065","Yes","GPT","Friday","Weekly","Wednesday","Xavier Linsdey","614-648-3498"
"30730","Kroger","1350 N High St","Columbus","Franklin County","43201","614-453-2928","-","GPT","Friday","Weekly","Wednesday","Patti Kress","614-453-2928"
"30731","Kroger","3600 Soldano Boulevard","Columbus","Franklin County","43228","614-274-8135","Yes","GPT","Friday","Weekly","Wednesday","Lisa Winkhaus","614-274-8135"
"30732","Central Point Liquor","689 Harrisburg Pike","Columbus","Franklin County","43223","614-276-1766","Yes","GPT","Tuesday","Weekly","Friday","Gachomo Mapis","614-276-1766"
"30733","Kroger","7625 Sawmill Rd","Dublin","Franklin County","43016","614-923-2333","Yes","GPT","Thursday","Weekly","Tuesday","Collin Balsley",""
"30734","Keg 'n Cork Beverage Center","1115 Mitchell Blvd","Springfield","Clark County","45503","937-390-2571","-","GPT","Thursday","Weekly","Tuesday","Patrick Simonton",""
"30735","Wine Works","1550 Commerce Rd","Springfield","Clark County","45504","937-323-9463","Yes","GPT","Friday","Weekly","Wednesday","Lisa Fultz","937-244-5950"
"30736","Groceryland","1822 S Limestone St","Springfield","Clark County","45505","937-917-8558","-","GPT","Wednesday","Weekly","Monday","Ravindra Patel","201-221-6089"
"30737","Kroger","230 Lafayette St","London","Madison County","43140","740-852-5542","Yes","GPT","Tuesday","Weekly","Friday","Michael Trombley","614-425-9686"
"30738","Chateau Wine & Spirits","2131 Polaris Pkwy","Columbus","Delaware County","43240","614-848-3130","Yes","GPT","Friday","Weekly","Wednesday","Anuj Patel","614-623-4448"
"30739","Crooksville Wine & Spirits","225 Pine St","Crooksville","Perry County","43731","740-982-8001","-","GPT","Wednesday","1","Monday","Akashdeep Singh","740-624-0755"
"30741","Bexley Liquor Agency","2173 E Livingston Ave","Columbus","Franklin County","43209","614-237-4282","Yes","GPT","Friday","Weekly","Wednesday","Anil Musku","301-401-2984"
"30742","Kroger","1745 Morse Rd","Columbus","Franklin County","43229","614-405-9400","-","GPT","Tuesday","Weekly","Friday","Andrew McCloud",""
"30743","Kroger","299 W Bridge St","Dublin","Franklin County","43017","614-923-0751","Yes","GPT","Thursday","Weekly","Tuesday","Stephen Juliano",""
"30744","Giant Eagle","1250 N Hamilton Rd","Gahanna","Franklin County","43230","(614) 939-5559","-","GPT","Friday","Weekly","Wednesday","Robert Bridges","614-756-8503"
"30745","Kroger","199 Graceland Blvd","Columbus","Franklin County","43214","614-410-1095","Yes","GPT","Monday","Weekly","Thursday","Daniel Montoly","614-410-1095"
"30746","Giant Eagle Market District","6700 Perimeter Loop Rd","Dublin","Franklin County","43017","614-717-9445","-","GPT","Friday","Weekly","Wednesday","Michael Gatchell","380-213-8601"
"30747","Giant Eagle","2173 Stringtown Rd","Grove City","Franklin County","43123","614-875-8539","Yes","GPT","Wednesday","Weekly","Monday","Preston Lawrence","614-738-1534"
"30748","Arena Wine & Spirits","492 Armstrong St","Columbus","Franklin County","43215","614-745-2395","Yes","GPT","Friday","Weekly","Wednesday","Gursev Sidhu",""
"30749","Drive Thru 95","608 W Marion St","Mount Gilead","Morrow County","43338","419-946-7538","Yes","GPT","Wednesday","Weekly","Monday","Rupen Patel","347-393-0442"
"30751","Smokin Rob's","1525 Eastern Ave","Gallipolis","Gallia County","45631","740-441-0163","Yes","GPT","Wednesday","1","Monday","Arun Sharma",""
"30752","Kroger","1585 Georgesville Square Dr","Columbus","Franklin County","43228","614-878-1332","-","GPT","Tuesday","Weekly","Friday","James Jackson","614-878-1332"
"30753","Little Dog Deli","3960 OH-60","McConnelsville","Morgan County","43756","740-962-4229","Yes","GPT","Wednesday","1","Monday","Parminder Tussar","740-785-6563"
"30754","Alum Creek Carry Out","4275 Alum Creek Dr","Columbus","Franklin County","43207","614-491-2059","Yes","GPT","Tuesday","Weekly","Friday","Bhumika Patel",""
"30755","Leo's Carry Out","1605 Co Rd 1","South Point","Lawrence County","45680","740-377-9412","Yes","GPT","Friday","Weekly","Wednesday","leos carryout","606-831-0528"
"30756","Kroger","1045 Hill Rd N","Pickerington","Fairfield County","43147","614-759-2761","-","GPT","Tuesday","Weekly","Friday","Justin Braden","954-253-0360"
"30757","Enon Drive Thru","358 Enon Rd","Enon","Clark County","45323","937-864-1162","Yes","GPT","Friday","Weekly","Wednesday","Anurag Sharma",""
"30758","Ross Granville Market","484 S Main St","Granville","Licking County","43023","740-587-0031","-","GPT","Wednesday","2","Monday","Geoff Ross","740-485-2156"
"30759","Beverage Warehouse","847 E 11th Ave","Columbus","Franklin County","43211","614-299-2092","Yes","GPT","Monday","Weekly","Thursday","Raghu Kondakrindhi",""
"30760","Kroger","5800 W Broad St","Galloway","Franklin County","43119","614-870-4350","-","GPT","Friday","Weekly","Wednesday","Ondre Farrow","614-843-7204"
"30761","Kroger","2525 Hilliard Rome Rd","Hilliard","Franklin County","43026","614-771-4174","Yes","GPT","Friday","Weekly","Wednesday","Rikki Molnar","419-307-6972"
"30762","Kroger","5991 S Sunbury Rd","Columbus","Franklin County","43081","614-895-1500","-","GPT","Friday","Weekly","Wednesday","Karen Thomas","614-432-6082"
"30763","Kroger","4656 Cemetery Rd","Hilliard","Franklin County","43026","614-876-1151","-","GPT","Thursday","Weekly","Tuesday","Patricia Wolff-Keaton","614-282-9282"
"30764","Kroger","600 E Main St","Hebron","Licking County","43025","740-928-0795","Yes","GPT","Tuesday","Weekly","Friday","Shelley Glass","740-364-8822"
"30765","Main St. Liquor & Tobacco","234 E Main St","Pomeroy","Meigs County","45769","740-444-5910","Yes","GPT","Wednesday","1","Monday","Naveen Sharma","937-708-9353"
"30766","Kroger","1637 E US Hwy 36","Urbana","Champaign County","43078","937-652-2227","Yes","GPT","Friday","Weekly","Wednesday","Jessica Pressler",""
"30767","Lexington Beverage Center","27 Plymouth St","Mansfield","Richland County","44904","419-884-3685","Yes","GRN","Friday","Weekly","Wednesday","Nrujal Amin","908-230-2850"
"30768","Kroger","31550 Chieftain Dr","Logan","Hocking County","43138","740-380-5459","Yes","GPT","Tuesday","Weekly","Friday","KYLE ELLINGER","740-603-7313"
"30769","Giant Eagle","5461 New Albany Rd W","New Albany","Franklin County","43054","614-939-4069","-","GPT","Tuesday","Weekly","Friday","Ken Few","614-374-3868"
"30770","Horseshoe Drive Thru","803 S Market St","Danville","Knox County","43014","740-599-7811","Yes","GPT","Friday","Weekly","Wednesday","Lynn M. Lyons","740-501-3872"
"30771","The Pit Stop","805 N Memorial Dr","Lancaster","Fairfield County","43130","740-277-7092","Yes","GPT","Tuesday","Weekly","Friday","BRANDY MATHEWS","740-590-9751"
"30772","Giant Eagle","6867 E Broad St","Columbus","Franklin County","43213","614-866-5226","Yes","GPT","Monday","Weekly","Thursday","Kathryn Coulder","614-822-1949"
"30773","Giant Eagle","873 Refugee Rd","Pickerington","Fairfield County","43147","614-866-3693","-","GPT","Tuesday","Weekly","Friday","Paul Hoch","740-407-1158"
"30774","Handy Mart I","33 S David Ave","Jackson","Jackson County","45640","740-286-1556","Yes","GPT","Friday","Weekly","Wednesday","NICK RAJPUT","740-688-1606"
"30775","Short Stop","495 E Main St","Circleville","Pickaway County","43113","740-497-4469","Yes","GPT","Monday","Weekly","Thursday","Hitesh Patel","614-595-9977"
"30776","Plain City Wine & Spirits","525 W Main St","Plain City","Union County","43064","614-873-2530","-","GPT","Friday","1","Wednesday","Hiren Mistry","478-461-1425"
"30777","Kroger","2129 S Main St","Bellefontaine","Logan County","43311","937-599-1208","Yes","GPT","Tuesday","Weekly","Friday","Heather Harmon","937-441-6489"
"30778","Mr G's II","1306 Woodlawn Ave","Cambridge","Guernsey County","43725","740-432-7943","Yes","GPT","Tuesday","Weekly","Friday","Doug Frencik","740-584-3655"
"30780","Buehler's","830 S 2nd St","Coshocton","Coshocton County","43812","740-622-2261","Yes","GPT","Friday","Weekly","Wednesday","Rana' Carpenter","740-502-1361"
"30782","Kroger","5965 Hoover Rd","Grove City","Franklin County","43123","614-277-3400","-","GPT","Friday","Weekly","Wednesday","Scott Brown","740-604-4772"
"30783","Wine & Liquor Depot","96 E Coshocton St","Johnstown","Licking County","43031","740-967-0450","Yes","GPT","Thursday","Weekly","Tuesday","Shannon Staneart","740-404-1725"
"30784","Kroger","131 OH-3","Sunbury","Delaware County","43074","740-965-0500","-","GPT","Thursday","Weekly","Tuesday","Samantha Hetterscheidt","614-309-8871"
"30785","Oliver's","301 Scammel St","Marietta","Washington County","45750","740-373-3903","Yes","GPT","Tuesday","Weekly","Friday","Chelsey Henningfield","740-336-4755"
"30787","Kroger","6095 Gender Rd","Canal Winchester","Franklin County","43110","614-834-2800","Yes","GPT","Wednesday","Weekly","Monday","Tiffany Gentzel","614-329-4701"
"30788","Kroger","7345 OH-3","Westerville","Delaware County","43082","614-794-5555","-","GPT","Friday","Weekly","Wednesday","Darnell Simpson","513-915-5907"
"30789","Giant Eagle","553 Hebron Rd","Heath","Licking County","43056","740-522-5382","Yes","GPT","Tuesday","Weekly","Friday","Kathy Magers","740-404-2041"
"30791","Kroger","1177 Polaris Pkwy","Columbus","Delaware County","43240","614-430-2440","Yes","GPT","Wednesday","Weekly","Monday","Lori Faryman","614-410-2995"
"30792","Kroger","1840 Columbus Pike","Delaware","Delaware County","43015","740-363-4398","Yes","GPT","Wednesday","Weekly","Monday","Arura Kendrick","740-971-1920"
"30793","Kroger","850 S Hamilton Rd","Whitehall","Franklin County","43213","614-452-8210","Yes","GPT","Monday","Weekly","Thursday","Valerie Parsons",""
"30794","Weiland's Market","3600 Indianola Ave","Columbus","Franklin County","43214","614-267-9878","Yes","GPT","Friday","Weekly","Wednesday","Alyssa Jones","614-381-7048"
"30795","Kroger","3675 E Broad St","Whitehall","Franklin County","43213","614-237-0076","-","GPT","Monday","Weekly","Thursday","Angela Behn","614-237-0076"
"30796","State Street Market","11 State St","Zanesville","Muskingum County","43701","740-297-8008","Yes","GPT","Friday","Weekly","Wednesday","LP SINGH","219-308-3778"
"30797","Winerak Market","2336 Maple Ave","Zanesville","Muskingum County","43701","740-454-6445","Yes","GPT","Friday","Weekly","Wednesday","Parker Alfman","740-704-7050"
"30798","Kroger","1501 W 5th St","Marysville","Union County","43040","937-209-2463","Yes","GPT","Friday","Weekly","Wednesday","Tami Burgess","740-225-5504"
"30809","Bellaire Party Center","3179 Union St","Bellaire","Belmont County","43906","740-676-2757","Yes","GPT","Wednesday","2","Monday","Susan Rataiczak","740-391-0513"
"30810","Buehler's","1055 Sugarbush Dr","Ashland","Ashland County","44805","419-282-9800","Yes","GRN","Monday","Weekly","Thursday","Trevor Fox","419-632-5296"
"30812","Giant Eagle","515 Union Ave","Dover","Tuscarawas County","44622","330-343-4856","Yes","GRN","Thursday","Weekly","Tuesday","Kevin Mehok","330-340-7758"
"30817","Kroger","858 Main St","Wintersville","Jefferson County","43953","740-264-3108","Yes","GRN","Friday","Weekly","Wednesday","Christopher McCallister","740-512-2577"
"30819","Kroger","50789 Valley Plaza Dr","Saint Clairsville","Belmont County","43950","740-695-7164","Yes","GPT","Wednesday","Weekly","Monday","Seamus Mills","740-695-7164"
"30820","Stake's IGA","430 N Jefferson St","Loudonville","Ashland County","44842","419-994-3204","Yes","GRN","Thursday","Weekly","Tuesday","C. Jean Stake",""
"30824","Millersburg Ice Co","25 S Grant St","Millersburg","Holmes County","44654","330-674-3016","Yes","GRN","Thursday","Weekly","Tuesday","Colleen Roberts","330-473-5217"
"30827","Kroger","264 S Hollywood Blvd","Steubenville","Jefferson County","43952","740-266-2898","Yes","GRN","Friday","Weekly","Wednesday","Nikki Barnett","740-266-2898"
"30832","Cadiz Spirits & Wine","621 Lincoln Ave","Cadiz","Harrison County","43907","740-320-4265","Yes","GRN","Friday","Weekly","Wednesday","Heena Patel","419-310-4193"
"30835","Smoker's Paradise","225 E 3rd St","Uhrichsville","Tuscarawas County","44683","740-922-8707","Yes","GRN","Thursday","Weekly","Tuesday","Greg Rossi",""
"30868","Riesbeck's","324 Lewisville Rd","Woodsfield","Monroe County","43793","740-472-0777","Yes","GPT","Wednesday","1","Monday","Aidan Griffith","740-472-0777"
"30876","Buehler's","417 S Broadway St","New Philadelphia","Tuscarawas County","44663","330-365-5151","Yes","GRN","Friday","Weekly","Wednesday","Amanda Karl",""
"30881","Bolivar Spirits","365 Canal St","Bolivar","Tuscarawas County","44612","330-415-4687","Yes","GRN","Thursday","Weekly","Tuesday","Whitney E. Harris","330-620-5510"
"30885","Kishman's Fresh Market Malvern","5077 Alliance Rd NW","Malvern","Carroll County","44644","330-863-0707","Yes","GRN","Monday","Weekly","Thursday","Janice Kishman","330-324-0610"
"30891","Riesbeck's","56130 National Rd","Bridgeport","Belmont County","43912","740-633-3320","-","GPT","Wednesday","2","Monday","Lavell Littleton","740-238-0628"
"30892","Chestnut Spirits & Wine","320 S Chestnut St","Barnesville","Belmont County","43713","740-425-1047","Yes","GPT","Friday","1","Wednesday","Heena Patel","419-310-4193"
"30895","Still Water Spirits & Wine","120 W State St","Newcomerstown","Tuscarawas County","43832","740-492-4104","Yes","GPT","Friday","2","Wednesday","Heena Patel","419-310-4193"
"40300","Giant Eagle","484 E Waterloo Rd","Akron","Summit County","44319","330-773-0088","Yes","GRN","Friday","Weekly","Wednesday","Brian Bell","330-773-7322"
"40301","Brimfield Liquor","3975 Cascades Blvd unit 15","Kent","Portage County","44240","330-677-1269","Yes","GRN","Monday","Weekly","Thursday","Anil Abichandani",""
"40302","Giant Eagle","4300 Kent Rd","Stow","Summit County","44224","330-686-5896","Yes","GRN","Friday","Weekly","Wednesday","Robert VanHorn","330-827-3180"
"40303","GS Spirits","2302 Metcalf Dr E","Ashtabula","Ashtabula County","44004","440-650-5705","-","GRN","Wednesday","Weekly","Monday","Gopal Patel","216-513-8004"
"40304","Giant Eagle","6493 Strip Ave NW","North Canton","Stark County","44720","330-497-7902","-","GRN","Friday","Weekly","Wednesday","Samuel Weiland","330-495-7458"
"40305","ACME","1835 W Market St","Akron","Summit County","44313","330-867-3563","-","GRN","Tuesday","Weekly","Friday","James Crouse","330-867-3563"
"40306","Top Shelf","7257 Fulton Dr NW","Canton","Stark County","44718","330-880-5028","Yes","GRN","Tuesday","Weekly","Friday","Dori Herman","330-880-5028"
"40307","Giant Eagle","4700 Belmont Ave","Youngstown","Trumbull","44505","330-759-9502","Yes","GRN","Tuesday","Weekly","Friday","Lily Rosario","330-610-3108"
"40400","Giant Eagle","7400 Broadview Rd","Parma","Cuyahoga County","44134","216-328-8266","-","GRN","Friday","Weekly","Wednesday","Hannah Seegert","216-328-8266"
"40401","Giant Eagle","6300 Biddulph Rd","Brooklyn","Cuyahoga County","44144","216-351-5180","Yes","GRN","Wednesday","Weekly","Monday","lawrence hines","440-281-5812"
"40402","Red, Wine & Brew","25887 - 25891 Detroit Rd","Westlake","Cuyahoga County","44145","440-892-7096","-","GRN","Wednesday","Weekly","Monday","Paul Allen","440-708-3187"
"40403","GS Spirits","34722 Vine St","Eastlake","Lake County","44095","440-946-2169","Yes","GRN","Thursday","Weekly","Tuesday","Gopal Patel","216-513-8004"
"40404","Giant Eagle","25105 Cedar Rd","Lyndhurst","Cuyahoga County","44124","216-920-3300","Yes","GRN","Wednesday","Weekly","Monday","angela mann","216-990-2091"
"40405","Elyria Liquor & Beverage","1063 Broad St","Elyria","Lorain County","44035","440-365-0821","Yes","GRN","Thursday","Weekly","Tuesday","Najwa Chedid",""
"40406","Andover Sparkle Market","97 Public Square","Andover","Ashtabula County","44003","440-293-6983","Yes","GRN","Wednesday","Weekly","Monday","Michele Romano",""
"40408","Milano's","35925 Detroit Rd #101","Avon","Lorain County","44011","440-937-1092","Yes","GRN","Thursday","Weekly","Tuesday","Charles Sandru","440-781-6937"
"40409","Miles Supermarket","4127 E 131st St","Cleveland","Cuyahoga County","44105","216-283-4171","-","GRN","Monday","Weekly","Thursday","Majid Abedrabbo","440-590-6364"
"40410","RSVP Food and Party Outlet","1525 S Hawkins Ave","Akron","Summit County","44320","330-864-2011","-","GRN","Tuesday","Weekly","Friday","Chris Allard","330-864-2011"
"40411","Buehler's Fresh Foods","2208-2226 Lincoln Way West","Massillon","Stark County","44647","330-833-7614","Yes","GRN","Tuesday","Weekly","Friday","Justin Virden","617-981-1749"
"40412","Lucky's Market","7596 Fredle Dr","Concord","Lake","44077","440-290-6550","-","GRN","Wednesday","Weekly","Monday","Lisa Heuer","440-290-6550"
"40413","Proof Liquor Company","20884 Royalton Rd, Unit G","Strongsville","Cuyahoga","44149","440-638-4065","Yes","GRN","Friday","Weekly","Wednesday","Halle Bruno","440-667-0620"
"40800","Mantua Gas and Beverage","4737 OH-82","Mantua","Portage County","44255","330-274-0045","Yes","GRN","Friday","Weekly","Wednesday","Atul Patel",""
"40801","Giant Eagle","1955 E Maple St","North Canton","Stark County","44720","330-244-9012","Yes","GRN","Friday","Weekly","Wednesday","Richard Baughman","216-351-5180"
"40802","Rocky's Wine & Beverage","3616 Cleveland Ave SW","Canton","Stark County","44707","330-484-1011","-","GRN","Monday","Weekly","Thursday","Meena Peddapally","201-920-9846"
"40803","Village Party Center","1800 OH-7","Yankee Lake","Trumbull County","44403","330-448-4711","-","GRN","Wednesday","Weekly","Monday","Tamie Hackett","330-507-2502"
"40805","Giant Eagle","15937 OH-170","East Liverpool","Columbiana County","43920","330-385-5220","Yes","GRN","Friday","Weekly","Wednesday","Kelly Parrish","724-650-3368"
"40806","Gene's Drive Thru","1750 E State St","Salem","Columbiana County","44460","330-337-9069","Yes","GRN","Monday","Weekly","Thursday","Kevin Engle","330-770-0093"
"40807","Wonderland of Foods","263 W Buckeye St","West Salem","Wayne County","44287","419-853-4302","-","GRN","Monday","Weekly","Thursday","Pankaj Patel",""
"40808","Giant Eagle","290 E Aurora Rd","Northfield","Summit County","44067","330-468-0100","-","GRN","Monday","Weekly","Thursday","Joshua Etela","330-468-0100"
"40813","Gino's Drive Thru","988 E Midlothian Blvd","Youngstown","Mahoning County","44502","330-788-6581","Yes","GRN","Thursday","Weekly","Tuesday","Nicholas Catsoules",""
"40814","Giant Eagle Market District","1700 Corporate Woods Pkwy","Uniontown","Summit County","44685","330-896-4456","-","GRN","Friday","Weekly","Wednesday","Steve Grand","330-212-4424"
"40815","ACME","3140 Greenwich Rd","Norton","Summit County","44203","330-825-0896","-","GRN","Monday","Weekly","Thursday","James Deitch","330-825-0896"
"40816","Giant Eagle","1700 Norton Rd","Stow","Summit County","44224","330-342-7465","-","GRN","Wednesday","Weekly","Monday","Rhiannon Clucas","330-342-9995"
"40818","Giant Eagle","108 W Main St","Louisville","Stark County","44641","330-875-4862","Yes","GRN","Monday","Weekly","Thursday","Kevin McConville","330-875-1451"
"40821","Lake's Beverage","3963 S Main St","Akron","Summit County","44319","330-644-6678","Yes","GRN","Thursday","Weekly","Tuesday","Star Newberry","330-309-4449"
"40822","Phil's Wine Boutique","201 12th St NW","Canton","Stark County","44703","330-588-8600","Yes","GRN","Friday","Weekly","Wednesday","Kulmeet Bhullar",""
"40823","Silver Spirits Liquor Agency","1482 N Portage Path","Akron","Summit County","44313","330-864-5933","Yes","GRN","Friday","Weekly","Wednesday","Karran Jaikissoon",""
"40825","Cap and Corks","25141 Lorain Rd","North Olmsted","Cuyahoga County","44070","440-455-9255","Yes","GRN","Tuesday","Weekly","Friday","Paresh Patel",""
"40828","Giant Eagle","3100 Cromer Ave NW","Canton","Stark County","44709","330-493-9469","-","GRN","Monday","Weekly","Thursday","Chad Ohman","330-492-5162"
"40829","Wine Connection","330 OH-14","Columbiana","Mahoning County","44408","330-482-9069","Yes","GRN","Thursday","Weekly","Tuesday","Stephanie Childers","330-720-3838"
"40830","One Stop Shop","6000 Mahoning Ave","Youngstown","Mahoning County","44515","330-792-6241","Yes","GRN","Wednesday","Weekly","Monday","Sherrie Seruga","330-531-2906"
